Date,Close,Market Return,Short MA,Long MA,Signal,Position,Position Change,Trading Cost,Strategy Return,Buy Hold Growth,Strategy Growth
2019-01-09,10855.150390625,0.004906430486840696,10793.52998046875,10669.83501953125,1,1.0,0.0,0.0,0.004906430486840696,2.074681775431692,1.272850263980861
2019-01-10,10821.599609375,-0.0030907707440862575,10807.15244140625,10685.66701171875,1,1.0,0.0,0.0,-0.0030907707440862575,2.068269409696899,1.2689161756233465
2019-01-11,10794.9501953125,-0.0024626132017869784,10810.019970703124,10696.5490234375,1,1.0,0.0,0.0,-0.0024626132017869784,2.0631760621437274,1.2657913258972953
2019-01-14,10737.599609375,-0.005312723532749919,10807.3224609375,10707.3330078125,1,1.0,0.0,0.0,-0.005312723532749919,2.05221497812617,1.25906652653265
2019-01-15,10886.7998046875,0.013895116296032572,10811.38994140625,10717.33701171875,1,1.0,0.0,0.0,0.013895116296032572,2.080730743911693,1.276561402343263
2019-01-16,10890.2998046875,0.0003214902508350548,10811.487451171875,10727.53400390625,1,1.0,0.0,0.0,0.0003214902508350548,2.0813996785604734,1.2769718043887086
2019-01-17,10905.2001953125,0.001368225934293088,10811.312451171874,10734.5780078125,1,1.0,0.0,0.0,0.001368225934293088,2.084247503580309,1.2787189903288343
2019-01-18,10906.9501953125,0.0001604738994844812,10808.294970703126,10742.23701171875,1,1.0,0.0,0.0,0.0001604738994844812,2.0845819709046993,1.2789241913515572
2019-01-21,10961.849609375,0.0050334340103701525,10808.80244140625,10750.87400390625,1,1.0,0.0,0.0,0.0050334340103701525,2.0950745766944556,1.2853615718729914
2019-01-22,10922.75,-0.0035668806605010372,10817.23994140625,10757.36099609375,1,1.0,0.0,0.0,-0.0035668806605010372,2.087601695704537,1.2807768405405264
2019-01-23,10831.5,-0.008354123274816327,10825.63994140625,10762.2869921875,1,1.0,0.0,0.0,-0.008354123274816327,2.0701616137899057,1.2700770729271211
2019-01-24,10849.7998046875,0.001689498655541799,10831.637451171875,10769.638984375,1,1.0,0.0,0.0,0.001689498655541799,2.073659149053158,1.272222866434266
2019-01-25,10780.5498046875,-0.006382606245884936,10831.674951171875,10773.59998046875,1,1.0,0.0,0.0,-0.006382606245884936,2.060423799216575,1.264102768820805
2019-01-28,10661.5498046875,-0.011038398055380982,10821.757421875,10775.30498046875,1,1.0,0.0,0.0,-0.011038398055380982,2.037680021158042,1.2501490992756519
2019-01-29,10652.2001953125,-0.0008769465552643796,10811.23994140625,10776.01498046875,1,1.0,0.0,0.0,-0.0008769465552643796,2.0358930846827565,1.2490527853294753
2019-01-30,10651.7998046875,-3.758759858607519e-05,10804.204931640625,10775.40697265625,1,1.0,0.0,0.0,-3.758759858607519e-05,2.0358165603507254,1.2490058364347676
2019-01-31,10830.9501953125,0.016818790618479573,10812.13994140625,10776.75796875,1,1.0,0.0,0.0,0.016818790618479573,2.0700565328168974,1.270012604079023
2019-02-01,10893.650390625,0.005788983808607595,10820.45498046875,10781.50697265625,1,1.0,0.0,0.0,0.005788983808607595,2.082040056568277,1.277364686480764
2019-02-04,10912.25,0.0017073807867935553,10827.477490234374,10787.7509765625,1,1.0,0.0,0.0,0.0017073807867935553,2.085594891758196,1.2795456344041898
2019-02-05,10934.349609375,0.0020252110586724825,10834.087451171876,10795.90296875,1,1.0,0.0,0.0,0.0020252110586724825,2.0898186615968957,1.2821369843730612
2019-02-06,11062.4501953125,0.011715428033110209,10844.45244140625,10804.57998046875,1,1.0,0.0,0.0,0.011715428033110209,2.114301781729085,1.2971577679420727
2019-02-07,11069.400390625,0.0006282690714798367,10856.84248046875,10812.25599609375,1,1.0,0.0,0.0,0.0006282690714798367,2.11563013214632,1.2979727320485006
2019-02-08,10943.599609375,-0.011364733121095205,10864.274951171876,10816.55099609375,1,1.0,0.0,0.0,-0.011364733121095205,2.0915865603115296,1.2832216183503107
