Date,Close,Daily Return,Fast MA,Slow MA,Signal,Position,Position Change,Trading Cost,Strategy Return,Strategy Growth,Buy Hold Growth
2012-11-05,5704.2001953125,0.0011408111654149788,5652.91005859375,5560.76,1,1.0,0.0,0.0,0.0011408111654149788,1.0149684918602122,1.090210615492666
2012-11-06,5724.39990234375,0.003541198825358416,5678.21005859375,5566.827998046875,1,1.0,0.0,0.0,0.003541198825358416,1.0185626970913635,1.094071268043642
2012-11-07,5760.10009765625,0.0062364956888989465,5706.2900390625,5573.772998046875,1,1.0,0.0,0.0,0.0062364956888989465,1.024914958960647,1.1008944387901443
2012-11-08,5738.75,-0.0037065497637683853,5725.030078125,5580.24099609375,1,1.0,0.0,0.0,-0.0037065497637683853,1.0211160606616287,1.0968139187681127
2012-11-09,5686.25,-0.009148333696362476,5722.7400390625,5586.2319921875,1,1.0,0.0,0.0,-0.009148333696362476,1.011774550195981,1.086779899036407
2012-11-12,5683.7001953125,-0.00044841586062871475,5718.6400390625,5592.90099609375,1,1.0,0.0,0.0,-0.00044841586062871475,1.0113208544402925,1.0862925696926666
2012-11-15,5631.0,-0.009272163115845444,5699.96005859375,5599.765,1,1.0,0.0,0.0,-0.009272163115845444,1.001943722515466,1.0762202877949454
2012-11-16,5574.0498046875,-0.010113691229355348,5662.75,5604.945,1,1.0,0.0,0.0,-0.010113691229355348,0.9918103730767536,1.0653357281094193
2012-11-19,5571.39990234375,-0.00047539983254574203,5629.27998046875,5611.202998046875,1,1.0,0.0,0.0,-0.00047539983254574203,0.9913388665914757,1.0648292676826712
2012-11-20,5571.5498046875,2.6905687327660743e-05,5606.33994140625,5617.558994140625,0,1.0,0.0,0.0,2.6905687327660743e-05,0.991365539245056,1.0648579176460047
2012-11-21,5614.7998046875,0.007762651598952397,5592.55986328125,5624.374990234375,0,0.0,1.0,0.0005,-0.0005,0.9908698564754336,1.0731240386630765
2012-11-22,5627.75,0.002306439367916191,5591.90986328125,5632.415986328125,0,0.0,0.0,0.0,0.0,0.9908698564754336,1.0755991341925062
2012-11-23,5626.60009765625,-0.00020432719004037647,5602.419921875,5640.179990234375,0,0.0,0.0,0.0,-0.0,0.9908698564754336,1.0753793600438069
2012-11-26,5635.89990234375,0.001652828444547394,5615.319921875,5646.055986328125,0,0.0,0.0,0.0,0.0,0.9908698564754336,1.0771567776387665
2012-11-27,5727.4501953125,0.016244130405985047,5646.5,5653.335986328125,0,0.0,0.0,0.0,0.0,0.9908698564754336,1.0946542528024212
2012-11-29,5825.0,0.0170319778192638,5688.5400390625,5662.035986328125,1,0.0,0.0,0.0,0.0,0.9908698564754336,1.1132983797559148
2012-11-30,5879.85009765625,0.009416325777896972,5738.96005859375,5671.01298828125,1,1.0,1.0,0.0005,0.008916325777896972,0.9997047749192666,1.1237815599877015
2012-12-03,5870.9501953125,-0.001513627421776853,5787.830078125,5679.724990234375,1,1.0,0.0,0.0,-0.001513627421776853,0.9981915943582675,1.1220805734024168
2012-12-04,5889.25,0.00311700901535672,5838.50009765625,5685.9569921875,1,1.0,0.0,0.0,0.00311700901535672,1.0013029665569355,1.1255781086656689
2012-12-05,5900.5,0.001910260219892157,5873.11005859375,5691.7669921875,1,1.0,0.0,0.0,0.001910260219892157,1.0032157157820092,1.1277282557510344
2012-12-06,5930.89990234375,0.005152089203245502,5894.2900390625,5698.383994140625,1,1.0,0.0,0.0,0.005152089203245502,1.0083843726398158,1.1335384123216843
2012-12-07,5907.39990234375,-0.0039622992103969246,5899.8,5705.4469921875,1,1.0,0.0,0.0,-0.0039622992103969246,1.0043888520363284,1.1290469939655874
2012-12-10,5908.89990234375,0.0002539188178889429,5907.38994140625,5709.8019921875,1,1.0,0.0,0.0,0.0002539188178889429,1.0046438852663384,1.1293336802436362
2012-12-11,5898.7998046875,-0.001709302547542535,5909.29990234375,5714.385986328125,1,1.0,0.0,0.0,-0.001709302547542535,1.0029266449138796,1.1274033073069702
2012-12-12,5888.0,-0.001830847807196001,5906.79990234375,5718.66798828125,1,1.0,0.0,0.0,-0.001830847807196001,1.0010904388652606,1.1253392034339618
2012-12-13,5851.5,-0.006199048913043459,5890.919921875,5722.428984375,1,1.0,0.0,0.0,-0.006199048913043459,0.9948846302683547,1.1183631706681092
2012-12-14,5879.60009765625,0.004802204162394297,5885.3599609375,5727.030986328125,1,1.0,0.0,0.0,0.004802204162394297,0.9996622693809315,1.1237337789413602
2012-12-17,5857.89990234375,-0.0036907604177280895,5875.1599609375,5730.12298828125,1,1.0,0.0,0.0,-0.0036907604177280895,0.9959727554460042,1.1195863467899794
2012-12-18,5896.7998046875,0.006640588434805084,5874.7599609375,5733.68298828125,1,1.0,0.0,0.0,0.006640588434805084,1.0025866006072,1.1270210589362386
2012-12-19,5929.60009765625,0.00556238876257531,5883.07998046875,5737.649990234375,1,1.0,0.0,0.0,0.00556238876257531,1.008163377047926,1.1332899882096512
2012-12-20,5916.39990234375,-0.002226152707619833,5896.0599609375,5740.225986328125,1,1.0,0.0,0.0,-0.002226152707619833,1.0059190514163876,1.1307671116338798
2012-12-21,5847.7001953125,-0.011611741627545302,5889.67998046875,5742.240986328125,1,1.0,0.0,0.0,-0.011611741627545302,0.9942385792931151,1.1176369360926615
2012-12-24,5855.75,0.001376576161334686,5889.25,5745.835986328125,1,1.0,0.0,0.0,0.001376576161334686,0.9956072244200492,1.1191754484559138
2012-12-26,5905.60009765625,0.008513016719677191,5891.01005859375,5749.855986328125,1,1.0,0.0,0.0,0.008513016719677191,1.0040828453677686,1.1287030077608713
2012-12-27,5870.10009765625,-0.006011243466026217,5879.11005859375,5754.214990234375,1,1.0,0.0,0.0,-0.006011243466026217,0.9980470589242025,1.1219180991803845
2012-12-28,5908.35009765625,0.006516072871614487,5877.50009765625,5758.22099609375,1,1.0,0.0,0.0,0.006516072871614487,1.0045504062894532,1.1292285992706272
2012-12-31,5905.10009765625,-0.0005500689610944409,5888.980078125,5762.802001953125,1,1.0,0.0,0.0,-0.0005500689610944409,1.0039978342910987,1.1286074456681883
2013-01-02,5993.25,0.014927757512313233,5916.480078125,5768.922001953125,1,1.0,0.0,0.0,0.014927757512313233,1.018985270504284,1.1454550239437142
2013-01-03,6009.5,0.0027113836399281777,5937.26005859375,5776.152001953125,1,1.0,0.0,0.0,0.0027113836399281777,1.021748130496057,1.1485607919559087
2013-01-04,6016.14990234375,0.0011065649960479984,5966.47001953125,5783.27,1,1.0,0.0,0.0,0.0011065649960479984,1.0228787612120414,1.1498317491241203
